,State,Total Cases,New Cases,Total Deaths,New Deaths,Fatality Rate,Latitude,Longitude,Date
0,Alabama,157,26,0,0,0.0,32.3182,-86.9023,2020-03-22
1,Alaska,20,5,0,0,0.0,61.3707,-152.4044,2020-03-22
2,Arizona,152,34,2,1,0.0132,33.7298,-111.4312,2020-03-22
3,Arkansas,165,43,0,0,0.0,34.9697,-92.3731,2020-03-22
4,California,1646,282,30,6,0.0182,36.1162,-119.6816,2020-03-22
5,Colorado,591,201,6,2,0.0102,39.0598,-105.3111,2020-03-22
6,Connecticut,327,133,8,4,0.0245,41.5978,-72.7554,2020-03-22
7,Delaware,56,11,0,0,0.0,39.3185,-75.5071,2020-03-22
8,District of Columbia,204,127,2,1,0.0098,38.8974,-77.0268,2020-03-22
9,Florida,1004,345,13,0,0.0129,27.7663,-81.6868,2020-03-22
10,Georgia,621,114,25,11,0.0403,33.0406,-83.6431,2020-03-22
11,Idaho,42,6,0,0,0.0,44.2405,-114.4788,2020-03-22
12,Illinois,1049,296,9,3,0.0086,40.3495,-88.9861,2020-03-22
13,Indiana,204,76,6,2,0.0294,39.8494,-86.2583,2020-03-22
14,Iowa,90,22,0,0,0.0,42.0115,-93.2105,2020-03-22
15,Kansas,65,8,2,0,0.0308,38.5266,-96.7265,2020-03-22
16,Kentucky,103,16,3,0,0.0291,37.6681,-84.6701,2020-03-22
17,Louisiana,837,252,20,4,0.0239,31.1695,-91.8678,2020-03-22
18,Maine,89,19,0,0,0.0,44.6939,-69.3819,2020-03-22
19,Maryland,244,51,3,1,0.0123,39.0639,-76.8021,2020-03-22
20,Massachusetts,646,121,5,4,0.0077,42.2302,-71.5301,2020-03-22
21,Michigan,1035,247,9,4,0.0087,43.3266,-84.5361,2020-03-22
22,Minnesota,167,29,1,0,0.006,45.6945,-93.9002,2020-03-22
23,Mississippi,207,67,1,0,0.0048,32.7416,-89.6787,2020-03-22
24,Missouri,87,13,3,0,0.0345,38.4561,-92.2884,2020-03-22
25,Montana,34,13,0,0,0.0,46.9219,-110.4544,2020-03-22
26,Nebraska,51,13,0,0,0.0,41.1254,-98.2681,2020-03-22
27,Nevada,190,29,2,0,0.0105,38.3135,-117.0554,2020-03-22
28,New Hampshire,74,19,0,0,0.0,43.4525,-71.5639,2020-03-22
29,New Jersey,1914,587,20,4,0.0104,40.2989,-74.5210,2020-03-22
30,New Mexico,57,14,0,0,0.0,34.8405,-106.2485,2020-03-22
31,New York,15800,4090,117,57,0.0074,42.1657,-74.9481,2020-03-22
32,North Carolina,305,52,0,0,0.0,35.6301,-79.8064,2020-03-22
33,North Dakota,28,0,0,0,0.0,47.5289,-99.7840,2020-03-22
34,Ohio,356,108,3,0,0.0084,40.3888,-82.7649,2020-03-22
35,Oklahoma,67,14,2,1,0.0299,35.5653,-96.9289,2020-03-22
36,Oregon,161,47,5,0,0.0311,44.5720,-122.0709,2020-03-22
37,Pennsylvania,509,113,4,2,0.0079,40.5908,-77.2098,2020-03-22
38,Rhode Island,83,17,0,0,0.0,41.6809,-71.5118,2020-03-22
39,South Carolina,196,25,3,0,0.0153,33.8569,-80.9450,2020-03-22
40,South Dakota,21,7,1,0,0.0476,44.2998,-99.4388,2020-03-22
41,Tennessee,505,134,2,1,0.004,35.7478,-86.6923,2020-03-22
42,Texas,643,62,7,2,0.0109,31.0545,-97.5635,2020-03-22
43,Utah,162,26,1,1,0.0062,40.1500,-111.8624,2020-03-22
44,Vermont,52,23,2,0,0.0385,44.0459,-72.7107,2020-03-22
45,Virginia,220,64,6,4,0.0273,37.7693,-78.1700,2020-03-22
46,Washington,1997,204,97,3,0.0486,47.4009,-121.4905,2020-03-22
47,West Virginia,16,8,0,0,0.0,38.4912,-80.9545,2020-03-22
48,Wisconsin,381,99,4,0,0.0105,44.2685,-89.6165,2020-03-22
49,Wyoming,26,3,0,0,0.0,42.7560,-107.3025,2020-03-22
50,Alabama,196,39,0,0,0.0,32.3182,-86.9023,2020-03-23
51,Alaska,30,10,0,0,0.0,61.3707,-152.4044,2020-03-23
52,Arizona,235,83,2,0,0.0085,33.7298,-111.4312,2020-03-23
53,Arkansas,192,27,0,0,0.0,34.9697,-92.3731,2020-03-23
54,California,2108,462,39,9,0.0185,36.1162,-119.6816,2020-03-23
55,Colorado,704,113,7,1,0.0099,39.0598,-105.3111,2020-03-23
56,Connecticut,415,88,10,2,0.0241,41.5978,-72.7554,2020-03-23
57,Delaware,68,12,0,0,0.0,39.3185,-75.5071,2020-03-23
58,District of Columbia,120,-84,2,0,0.0167,38.8974,-77.0268,2020-03-23
59,Florida,1227,223,18,5,0.0147,27.7663,-81.6868,2020-03-23
60,Georgia,772,151,25,0,0.0324,33.0406,-83.6431,2020-03-23
61,Idaho,68,26,0,0,0.0,44.2405,-114.4788,2020-03-23
62,Illinois,1285,236,12,3,0.0093,40.3495,-88.9861,2020-03-23
63,Indiana,270,66,7,1,0.0259,39.8494,-86.2583,2020-03-23
64,Iowa,105,15,0,0,0.0,42.0115,-93.2105,2020-03-23
65,Kansas,84,19,2,0,0.0238,38.5266,-96.7265,2020-03-23
66,Kentucky,123,20,4,1,0.0325,37.6681,-84.6701,2020-03-23
67,Louisiana,1172,335,35,15,0.0299,31.1695,-91.8678,2020-03-23
68,Maine,107,18,0,0,0.0,44.6939,-69.3819,2020-03-23
69,Maryland,290,46,3,0,0.0103,39.0639,-76.8021,2020-03-23
70,Massachusetts,777,131,9,4,0.0116,42.2302,-71.5301,2020-03-23
71,Michigan,1329,294,15,6,0.0113,43.3266,-84.5361,2020-03-23
72,Minnesota,234,67,1,0,0.0043,45.6945,-93.9002,2020-03-23
73,Mississippi,249,42,1,0,0.004,32.7416,-89.6787,2020-03-23
74,Missouri,187,100,4,1,0.0214,38.4561,-92.2884,2020-03-23
75,Montana,34,0,0,0,0.0,46.9219,-110.4544,2020-03-23
76,Nebraska,51,0,0,0,0.0,41.1254,-98.2681,2020-03-23
77,Nevada,245,55,4,2,0.0163,38.3135,-117.0554,2020-03-23
78,New Hampshire,101,27,1,1,0.0099,43.4525,-71.5639,2020-03-23
79,New Jersey,2844,930,27,7,0.0095,40.2989,-74.5210,2020-03-23
80,New Mexico,83,26,0,0,0.0,34.8405,-106.2485,2020-03-23
81,New York,20884,5084,158,41,0.0076,42.1657,-74.9481,2020-03-23
82,North Carolina,353,48,0,0,0.0,35.6301,-79.8064,2020-03-23
83,North Dakota,30,2,0,0,0.0,47.5289,-99.7840,2020-03-23
84,Ohio,443,87,6,3,0.0135,40.3888,-82.7649,2020-03-23
85,Oklahoma,81,14,2,0,0.0247,35.5653,-96.9289,2020-03-23
86,Oregon,191,30,5,0,0.0262,44.5720,-122.0709,2020-03-23
87,Pennsylvania,698,189,6,2,0.0086,40.5908,-77.2098,2020-03-23
88,Rhode Island,106,23,0,0,0.0,41.6809,-71.5118,2020-03-23
89,South Carolina,298,102,5,2,0.0168,33.8569,-80.9450,2020-03-23
90,South Dakota,28,7,1,0,0.0357,44.2998,-99.4388,2020-03-23
91,Tennessee,614,109,2,0,0.0033,35.7478,-86.6923,2020-03-23
92,Texas,758,115,9,2,0.0119,31.0545,-97.5635,2020-03-23
93,Utah,257,95,1,0,0.0039,40.1500,-111.8624,2020-03-23
94,Vermont,75,23,5,3,0.0667,44.0459,-72.7107,2020-03-23
95,Virginia,254,34,6,0,0.0236,37.7693,-78.1700,2020-03-23
96,Washington,2221,224,109,12,0.0491,47.4009,-121.4905,2020-03-23
97,West Virginia,16,0,0,0,0.0,38.4912,-80.9545,2020-03-23
98,Wisconsin,425,44,5,1,0.0118,44.2685,-89.6165,2020-03-23
99,Wyoming,26,0,0,0,0.0,42.7560,-107.3025,2020-03-23
100,Alabama,242,46,0,0,0.0,32.3182,-86.9023,2020-03-24
101,Alaska,34,4,0,0,0.0,61.3707,-152.4044,2020-03-24
102,Arizona,326,91,5,3,0.0153,33.7298,-111.4312,2020-03-24
103,Arkansas,219,27,2,2,0.0091,34.9697,-92.3731,2020-03-24
104,California,2538,430,50,11,0.0197,36.1162,-119.6816,2020-03-24
105,Colorado,723,19,8,1,0.0111,39.0598,-105.3111,2020-03-24
