,State,Total Cases-State,New Cases-State,Total Deaths-State,New Deaths-State,Fatality Rate-State,Date-State
0,California,852410,3334,16567,81,0.0194,2020-10-10
22040,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22070,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22069,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22068,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22067,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22066,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22065,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22064,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22063,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22062,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22061,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22060,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22059,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22058,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22057,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22056,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22055,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22054,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22053,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22052,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22051,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22050,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22049,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22048,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22047,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22046,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22045,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22044,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22043,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22042,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22071,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22072,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22073,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22089,California,852410,3334,16567,81,0.0194,2020-10-10
22102,California,852410,3334,16567,81,0.0194,2020-10-10
22101,California,852410,3334,16567,81,0.0194,2020-10-10
22100,California,852410,3334,16567,81,0.0194,2020-10-10
22099,California,852410,3334,16567,81,0.0194,2020-10-10
22098,California,852410,3334,16567,81,0.0194,2020-10-10
22097,California,852410,3334,16567,81,0.0194,2020-10-10
22096,California,852410,3334,16567,81,0.0194,2020-10-10
22095,California,852410,3334,16567,81,0.0194,2020-10-10
22094,California,852410,3334,16567,81,0.0194,2020-10-10
22093,California,852410,3334,16567,81,0.0194,2020-10-10
22092,California,852410,3334,16567,81,0.0194,2020-10-10
22091,California,852410,3334,16567,81,0.0194,2020-10-10
22090,California,852410,3334,16567,81,0.0194,2020-10-10
22088,California,852410,3334,16567,81,0.0194,2020-10-10
22074,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22087,California,852410,3334,16567,81,0.0194,2020-10-10
22086,California,852410,3334,16567,81,0.0194,2020-10-10
22085,California,852410,3334,16567,81,0.0194,2020-10-10
22084,California,852410,3334,16567,81,0.0194,2020-10-10
22083,California,852410,3334,16567,81,0.0194,2020-10-10
22082,California,852410,3334,16567,81,0.0194,2020-10-10
22081,California,852410,3334,16567,81,0.0194,2020-10-10
22080,California,852410,3334,16567,81,0.0194,2020-10-10
22079,California,852410,3334,16567,81,0.0194,2020-10-10
22078,California,852410,3334,16567,81,0.0194,2020-10-10
22077,California,852410,3334,16567,81,0.0194,2020-10-10
22076,California,852410,3334,16567,81,0.0194,2020-10-10
22075,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22041,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22039,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21975,California,852410,3334,16567,81,0.0194,2020-10-10
22038,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22005,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22004,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22003,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22002,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22001,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22000,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21999,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21998,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21997,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21996,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21995,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21994,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21993,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21992,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21991,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21990,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21989,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21988,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21987,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21986,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21985,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21984,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21983,California,852410,3334,16567,81,0.0194,2020-10-10
21982,California,852410,3334,16567,81,0.0194,2020-10-10
21981,California,852410,3334,16567,81,0.0194,2020-10-10
21980,California,852410,3334,16567,81,0.0194,2020-10-10
21979,California,852410,3334,16567,81,0.0194,2020-10-10
21978,California,852410,3334,16567,81,0.0194,2020-10-10
21977,California,852410,3334,16567,81,0.0194,2020-10-10
22006,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22007,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22008,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22024,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22037,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22036,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22035,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22034,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22033,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22032,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22031,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22030,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22029,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22028,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22027,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22026,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22025,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22023,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22009,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22022,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22021,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22020,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22019,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22018,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22017,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22016,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22015,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22014,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22013,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22012,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22011,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22010,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22103,California,852410,3334,16567,81,0.0194,2020-10-10
22104,California,852410,3334,16567,81,0.0194,2020-10-10
22105,California,852410,3334,16567,81,0.0194,2020-10-10
22106,California,852410,3334,16567,81,0.0194,2020-10-10
22199,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22198,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22197,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22196,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22195,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22194,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22193,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22192,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22191,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22190,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22189,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22188,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22187,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22186,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22185,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22184,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22183,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22182,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22181,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22180,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22179,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22178,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22177,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22176,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22175,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22174,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22173,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22172,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22171,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22200,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22201,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22202,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22218,Indiana,133411,1918,3782,21,0.0283,2020-10-10
22231,California,852410,3334,16567,81,0.0194,2020-10-10
22230,California,852410,3334,16567,81,0.0194,2020-10-10
22229,California,852410,3334,16567,81,0.0194,2020-10-10
22228,California,852410,3334,16567,81,0.0194,2020-10-10
