Date,Total Cases,New Cases,Total Deaths,New Deaths
2020-03-22,33656,8315,424,118
2020-03-23,43463,9807,548,124
2020-03-24,53481,10018,701,153
2020-03-25,65505,12024,938,237
2020-03-26,83538,18033,1205,267
2020-03-27,101325,17787,1574,369
2020-03-28,120987,19662,2019,445
2020-03-29,140402,19415,2460,441
2020-03-30,161242,20840,2968,508
2020-03-31,187476,26234,3860,892
2020-04-01,212597,25121,4738,878
2020-04-02,242757,30160,5906,1168
2020-04-03,274670,31913,7061,1155
2020-04-04,307757,33087,8378,1317
2020-04-05,335912,28155,9586,1208
2020-04-06,365451,29539,10748,1162
2020-04-07,394916,29465,12684,1936
2020-04-08,427693,32777,14656,1972
2020-04-09,459976,32283,16429,1773
2020-04-10,495025,35049,18531,2102
2020-04-11,524796,29771,20401,1870
2020-04-12,553570,28774,21958,1557
2020-04-13,578865,25295,23466,1508
2020-04-14,605889,27024,25769,2303
2020-04-15,634501,28612,28257,2488
2020-04-16,665877,31376,32843,4586
2020-04-17,697745,31868,36697,3854
2020-04-18,730150,32405,38585,1888
2020-04-19,756938,26788,40579,1994
2020-04-20,782135,25197,42011,1432
2020-04-21,809797,27662,44360,2349
2020-04-22,837475,27678,46498,2138
2020-04-23,866799,29324,49860,3362
2020-04-24,903095,36296,51846,1986
2020-04-25,935880,32785,53646,1800
2020-04-26,963442,27562,54769,1123
2020-04-27,985837,22395,56145,1376
2020-04-28,1010209,24372,58239,2094
2020-04-29,1037499,27290,60851,2612
2020-04-30,1066890,29391,62874,2023
2020-05-01,1100890,34000,64819,1945
2020-05-02,1129785,28895,66244,1425
2020-05-03,1155235,25450,67554,1310
2020-05-04,1177534,22299,68794,1240
2020-05-05,1201425,23891,70934,2140
2020-05-06,1225627,24202,73301,2367
2020-05-07,1253981,28354,75529,2228
2020-05-08,1280758,26777,77042,1513
2020-05-09,1306359,25601,78656,1614
2020-05-10,1326042,19683,79384,728
2020-05-11,1344600,18558,80537,1153
2020-05-12,1366248,21648,82229,1692
2020-05-13,1387047,20799,83971,1742
2020-05-14,1414318,27271,85748,1777
2020-05-15,1439250,24932,87375,1627
2020-05-16,1464196,24946,88599,1224
